nginx-1  | 2025/10/01 09:10:28 [notice] 1#1: worker process 22 exited with code 0
nginx-1  | 172.18.0.1 - - [01/Oct/2025:09:22:54 +0000] "POST /admin/banner_upload_test.php HTTP/1.1" 302 5 "http://localhost:8081/admin/banner_upload_test.php" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36"
nginx-1  | 172.18.0.1 - - [01/Oct/2025:09:22:54 +0000] "GET /admin/login.php HTTP/1.1" 302 5 "http://localhost:8081/admin/banner_upload_test.php" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36"
nginx-1  | 172.18.0.1 - - [01/Oct/2025:09:22:54 +0000] "GET /admin/series.php HTTP/1.1" 200 4995 "http://localhost:8081/admin/banner_upload_test.php" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36"
nginx-1  | 172.18.0.1 - - [01/Oct/2025:09:23:01 +0000] "GET /admin/banner_upload_test.php HTTP/1.1" 200 250 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36"
nginx-1  | 172.18.0.1 - - [01/Oct/2025:09:23:11 +0000] "GET /admin/admin_users.php HTTP/1.1" 200 1392 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36"
nginx-1  | 172.18.0.1 - - [01/Oct/2025:09:23:21 +0000] "POST /admin/admin_users.php HTTP/1.1" 302 5 "http://localhost:8081/admin/admin_users.php" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36"
nginx-1  | 172.18.0.1 - - [01/Oct/2025:09:23:21 +0000] "GET /admin/login.php HTTP/1.1" 302 5 "http://localhost:8081/admin/admin_users.php" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36"
nginx-1  | 172.18.0.1 - - [01/Oct/2025:09:23:21 +0000] "GET /admin/series.php HTTP/1.1" 200 4995 "http://localhost:8081/admin/admin_users.php" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36"
nginx-1  | 2025/10/01 09:24:57 [warn] 29#29: *21 a client request body is buffered to a temporary file /var/cache/nginx/client_temp/0000000002, client: 172.18.0.1, server: localhost, request: "POST /admin/banner_upload_test.php HTTP/1.1", host: "localhost:8081", referrer: "http://localhost:8081/admin/banner_upload_test.php"
nginx-1  | 172.18.0.1 - - [01/Oct/2025:09:24:57 +0000] "POST /admin/banner_upload_test.php HTTP/1.1" 302 5 "http://localhost:8081/admin/banner_upload_test.php" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36"
nginx-1  | 172.18.0.1 - - [01/Oct/2025:09:24:57 +0000] "GET /admin/login.php HTTP/1.1" 302 5 "http://localhost:8081/admin/banner_upload_test.php" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36"
nginx-1  | 172.18.0.1 - - [01/Oct/2025:09:24:57 +0000] "GET /admin/series.php HTTP/1.1" 200 4995 "http://localhost:8081/admin/banner_upload_test.php" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36"
nginx-1  | 172.18.0.1 - - [01/Oct/2025:09:25:03 +0000] "GET /admin/admin_users.php HTTP/1.1" 200 1392 "http://localhost:8081/admin/series.php" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36"
nginx-1  | 172.18.0.1 - - [01/Oct/2025:09:25:13 +0000] "POST /admin/admin_users.php HTTP/1.1" 302 5 "http://localhost:8081/admin/admin_users.php" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36"
nginx-1  | 172.18.0.1 - - [01/Oct/2025:09:25:13 +0000] "GET /admin/login.php HTTP/1.1" 302 5 "http://localhost:8081/admin/admin_users.php" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36"
nginx-1  | 172.18.0.1 - - [01/Oct/2025:09:25:13 +0000] "GET /admin/series.php HTTP/1.1" 200 4995 "http://localhost:8081/admin/admin_users.php" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36"
nginx-1  | 2025/10/01 09:28:30 [error] 30#30: *31 open() "/var/www/html/admin/uploads/banners/_probe.png" failed (2: No such file or directory), client: 172.18.0.1, server: localhost, request: "GET /admin/uploads/banners/_probe.png HTTP/1.1", host: "localhost:8081"
nginx-1  | 2025/10/01 09:28:30 [error] 32#32: *32 open() "/var/www/html/web/uploads/banners/_probe.png" failed (2: No such file or directory), client: 172.18.0.1, server: localhost, request: "GET /web/uploads/banners/_probe.png HTTP/1.1", host: "localhost:8081"
nginx-1  | 172.18.0.1 - - [01/Oct/2025:09:29:07 +0000] "GET /admin/admin_users.php HTTP/1.1" 200 1392 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36"
nginx-1  | 172.18.0.1 - - [01/Oct/2025:09:29:14 +0000] "POST /admin/admin_users.php HTTP/1.1" 200 1785 "http://localhost:8081/admin/admin_users.php" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36"
nginx-1  | 172.18.0.1 - - [01/Oct/2025:09:29:26 +0000] "GET /admin/banners.php HTTP/1.1" 200 3562 "http://localhost:8081/admin/series.php" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36"
nginx-1  | 172.18.0.1 - - [01/Oct/2025:09:29:54 +0000] "GET /admin/banners.php HTTP/1.1" 200 3562 "http://localhost:8081/admin/series.php" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36"
nginx-1  | 172.18.0.1 - - [01/Oct/2025:09:29:58 +0000] "GET /admin/banner_edit.php?id=2 HTTP/1.1" 200 1967 "http://localhost:8081/admin/banners.php" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36"
nginx-1  | 2025/10/01 09:31:58 [error] 34#34: *40 open() "/var/www/html/admin/uploads/banners/_probe.png" failed (2: No such file or directory), client: 172.18.0.1, server: localhost, request: "GET /admin/uploads/banners/_probe.png HTTP/1.1", host: "localhost:8081"
nginx-1  | 2025/10/01 09:32:07 [error] 34#34: *40 open() "/var/www/html/web/uploads/banners/_probe.png" failed (2: No such file or directory), client: 172.18.0.1, server: localhost, request: "GET /web/uploads/banners/_probe.png HTTP/1.1", host: "localhost:8081"
nginx-1  | 172.18.0.1 - - [01/Oct/2025:09:32:26 +0000] "GET /admin/banner_upload_test.php HTTP/1.1" 200 250 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36"
nginx-1  | 2025/10/01 09:32:31 [warn] 34#34: *40 a client request body is buffered to a temporary file /var/cache/nginx/client_temp/0000000003, client: 172.18.0.1, server: localhost, request: "POST /admin/banner_upload_test.php HTTP/1.1", host: "localhost:8081", referrer: "http://localhost:8081/admin/banner_upload_test.php"
nginx-1  | 172.18.0.1 - - [01/Oct/2025:09:32:31 +0000] "POST /admin/banner_upload_test.php HTTP/1.1" 200 472 "http://localhost:8081/admin/banner_upload_test.php" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36"
